segment_id,bank,hito_code,source_order,easting_m,northing_m,epsg
el_silencio_main,LEFT,HMI-29,29,301763.4606,8683280.7636,32718
el_silencio_main,LEFT,HMI-30,30,301887.4606,8683361.7636,32718
el_silencio_main,LEFT,HMI-31,31,301963.4606,8683434.7636,32718
el_silencio_main,LEFT,HMI-32,32,302119.4606,8683544.7636,32718
el_silencio_main,LEFT,HMI-33,33,302184.4606,8683731.7636,32718
el_silencio_main,LEFT,HMI-34,34,302293.4606,8683768.7636,32718
el_silencio_main,LEFT,HMI-35,35,302356.4606,8683825.7636,32718
el_silencio_main,LEFT,HMI-36,36,302416.4606,8683934.7636,32718
el_silencio_main,LEFT,HMI-37,37,302469.4606,8683991.7636,32718
el_silencio_main,LEFT,HMI-38,38,302498.4606,8684050.7636,32718
el_silencio_main,LEFT,HMI-39,39,302511.4606,8684133.7636,32718
el_silencio_main,LEFT,HMI-40,40,302534.4606,8684210.7636,32718
el_silencio_main,LEFT,HMI-41,41,302567.4606,8684297.7636,32718
el_silencio_main,LEFT,HMI-42,42,302565.4606,8684388.7636,32718
el_silencio_main,LEFT,HMI-43,43,302554.4606,8684453.7636,32718
el_silencio_main,LEFT,HMI-44,44,302598.4606,8684539.7636,32718
el_silencio_main,LEFT,HMI-45,45,302648.4606,8684551.7636,32718
el_silencio_main,LEFT,HMI-46,46,302671.4606,8684598.7636,32718
el_silencio_main,LEFT,HMI-47,47,302708.4606,8684606.7636,32718
el_silencio_main,LEFT,HMI-48,48,302828.4606,8684614.7636,32718
el_silencio_main,LEFT,HMI-49,49,302913.4606,8684616.7636,32718
el_silencio_main,LEFT,HMI-50,50,302958.4606,8684690.7636,32718
el_silencio_main,LEFT,HMI-51,51,303035.4606,8684825.7636,32718
el_silencio_main,LEFT,HMI-52,52,303143.4606,8684866.7636,32718
el_silencio_main,LEFT,HMI-53,53,303311.4606,8684793.7636,32718
el_silencio_main,LEFT,HMI-54,54,303455.4606,8684795.7636,32718
el_silencio_main,LEFT,HMI-55,55,303536.4606,8684849.7636,32718
el_silencio_main,LEFT,HMI-56,56,303615.4606,8684843.7636,32718
el_silencio_main,LEFT,HMI-57,57,303664.4606,8684873.7636,32718
el_silencio_main,LEFT,HMI-58,58,303696.4606,8684854.7636,32718
el_silencio_main,LEFT,HMI-59,59,303712.4606,8684784.7636,32718
el_silencio_main,LEFT,HMI-60,60,303804.4606,8684740.7636,32718
el_silencio_main,LEFT,HMI-61,61,303892.4606,8684728.7636,32718
el_silencio_main,LEFT,HMI-62,62,303974.4606,8684741.7636,32718
el_silencio_main,LEFT,HMI-63,63,304061.4606,8684787.7636,32718
el_silencio_main,LEFT,HMI-64,64,304101.4606,8684843.7636,32718
el_silencio_main,LEFT,HMI-65,65,304113.4606,8684920.7636,32718
el_silencio_main,LEFT,HMI-66,66,304148.4606,8684962.7636,32718
el_silencio_main,LEFT,HMI-67,67,304160.4606,8685008.7636,32718
el_silencio_main,LEFT,HMI-68,68,304217.4606,8684991.7636,32718
el_silencio_main,LEFT,HMI-69,69,304269.4606,8685014.7636,32718
el_silencio_main,LEFT,HMI-70,70,304295.4606,8685054.7636,32718
el_silencio_main,LEFT,HMI-71,71,304328.4606,8685071.7636,32718
el_silencio_main,LEFT,HMI-72,72,304350.4606,8685122.7636,32718
el_silencio_main,LEFT,HMI-73,73,304369.4606,8685174.7636,32718
el_silencio_main,LEFT,HMI-74,74,304378.4606,8685237.7636,32718
el_silencio_main,LEFT,HMI-75,75,304369.4606,8685279.7636,32718
el_silencio_main,LEFT,HMI-76,76,304358.4606,8685335.7636,32718
el_silencio_main,LEFT,HMI-77,77,304388.4606,8685411.7636,32718
el_silencio_main,LEFT,HMI-78,78,304445.4606,8685428.7636,32718
el_silencio_main,LEFT,HMI-79,79,304472.4606,8685481.7636,32718
el_silencio_main,LEFT,HMI-80,80,304557.4606,8685594.7636,32718
el_silencio_main,LEFT,HMI-81,81,304619.4606,8685640.7636,32718
el_silencio_main,LEFT,HMI-82,82,304638.4606,8685737.7636,32718
el_silencio_main,LEFT,HMI-83,83,304664.4606,8685819.7636,32718
el_silencio_main,LEFT,HMI-84,84,304695.4606,8685943.7636,32718
el_silencio_main,LEFT,HMI-85,85,304707.4606,8686046.7636,32718
el_silencio_main,LEFT,HMI-86,86,304662.4606,8686193.7636,32718
el_silencio_main,LEFT,HMI-87,87,304694.4606,8686269.7636,32718
el_silencio_main,LEFT,HMI-88,88,304706.4606,8686381.7636,32718
el_silencio_main,LEFT,HMI-89,89,304692.4606,8686511.7636,32718
el_silencio_main,LEFT,HMI-90,90,304719.4606,8686549.7636,32718
el_silencio_main,LEFT,HMI-91,91,304713.4606,8686603.7636,32718
el_silencio_main,LEFT,HMI-92,92,304723.4606,8686619.7636,32718
el_silencio_main,LEFT,HMI-93,93,304759.4606,8686635.7636,32718
el_silencio_main,LEFT,HMI-94,94,304768.4606,8686690.7636,32718
