bank,hito_code,source_order,easting_m,northing_m,epsg
RIGHT,HMD-129,129,310959.4606,8685487.7636,32718
RIGHT,HMD-130,130,311045.4606,8685598.7636,32718
RIGHT,HMD-131,131,311054.4606,8685792.7636,32718
RIGHT,HMD-132,132,311038.4606,8685880.7636,32718
RIGHT,HMD-133,133,311089.4606,8685977.7636,32718
RIGHT,HMD-134,134,311144.4606,8686167.7636,32718
RIGHT,HMD-135,135,311185.3302,8686312.4167,32718
RIGHT,HMD-136,136,311390.3827,8686477.7816,32718
RIGHT,HMD-137,137,311662.6395,8686608.2215,32718
RIGHT,HMD-138,138,311682.7479,8686774.3801,32718
RIGHT,HMD-139,139,311852.0815,8686905.6137,32718
RIGHT,HMD-140,140,312014.4606,8686952.7636,32718
RIGHT,HMD-141,141,312222.4606,8687060.7636,32718
LEFT,HMI-01,1,294997.0000,8677836.0000,32718
LEFT,HMI-02,2,295062.0000,8677851.7950,32718
LEFT,HMI-03,3,295134.0000,8677846.7950,32718
LEFT,HMI-04,4,295245.0000,8677900.7950,32718
LEFT,HMI-05,5,295347.0000,8677931.7950,32718
LEFT,HMI-06,6,295426.0000,8677990.7950,32718
LEFT,HMI-07,7,295458.0000,8678055.7950,32718
LEFT,HMI-08,8,295536.0000,8678121.7950,32718
LEFT,HMI-09,9,295665.0000,8678179.7950,32718
LEFT,HMI-10,10,295913.5045,8678358.5385,32718
LEFT,HMI-11,11,296212.7488,8678453.7887,32718
LEFT,HMI-12,12,296670.0000,8678622.7950,32718
LEFT,HMI-13,13,296954.0000,8678737.7950,32718
LEFT,HMI-14,14,297088.0000,8678791.7950,32718
LEFT,HMI-15,15,297213.0000,8678839.7950,32718
LEFT,HMI-16,16,297307.0000,8678820.7950,32718
LEFT,HMI-17,17,297499.0000,8678846.7950,32718
LEFT,HMI-18,18,297623.0000,8678928.7950,32718
LEFT,HMI-19,19,297846.0000,8679049.7950,32718
LEFT,HMI-20,20,297952.6523,8679179.2777,32718
LEFT,HMI-21,21,298069.0000,8679404.7950,32718
LEFT,HMI-22,22,298201.7580,8679597.7171,32718
LEFT,HMI-23,23,298196.4663,8679740.5923,32718
LEFT,HMI-24,24,298350.0000,8679753.7950,32718
LEFT,HMI-25,25,298476.0000,8679779.7950,32718
LEFT,HMI-26,26,298596.0000,8679835.7950,32718
LEFT,HMI-27,27,298746.0000,8679807.7950,32718
LEFT,HMI-28,28,298840.0000,8679827.7950,32718
LEFT,HMI-29,29,298912.0000,8679869.7950,32718
LEFT,HMI-30,30,298975.0000,8679819.7950,32718
LEFT,HMI-31,31,299179.0000,8679535.7950,32718
LEFT,HMI-32,32,299295.0000,8679304.7950,32718
LEFT,HMI-33,33,299422.0000,8679145.7950,32718
LEFT,HMI-34,34,299587.0000,8679014.7950,32718
LEFT,HMI-35,35,299640.0000,8678906.7950,32718
LEFT,HMI-36,36,299783.2247,8678879.4808,32718
LEFT,HMI-37,37,299876.5765,8678862.9840,32718
LEFT,HMI-38,38,299898.0000,8678858.7950,32718
LEFT,HMI-39,39,299999.0000,8678814.7950,32718
LEFT,HMI-40,40,300288.0000,8678788.7950,32718
LEFT,HMI-41,41,300379.0000,8678794.7950,32718
LEFT,HMI-42,42,300502.4937,8678696.1021,32718
LEFT,HMI-43,43,300784.0109,8678690.0167,32718
LEFT,HMI-44,44,300905.7195,8679019.9527,32718
LEFT,HMI-45,45,301068.0000,8679113.7950,32718
LEFT,HMI-46,46,301151.0000,8679211.7950,32718
